pid,item_id,family,answer,correct,resp_type,route,seen
R_4jkWGYT7ECy8kAR,crt2_q1,CRT2,first place,0.0,1.0,rule_exact_intuitive,0
R_4jkWGYT7ECy8kAR,crt2_q2,CRT2,8 sheep,1.0,2.0,rule_exact_correct,0
R_4jkWGYT7ECy8kAR,crt2_q3,CRT2,june,0.0,1.0,rule_exact_intuitive,0
R_4jkWGYT7ECy8kAR,crt2_q4,CRT2,27,0.0,1.0,rule_regex_intuitive,0
R_4jkWGYT7ECy8kAR,bcrt_q1,BCRT,1.5 hrs,0.0,0.0,rule_other,0
R_4jkWGYT7ECy8kAR,bcrt_q2,BCRT,$400,1.0,2.0,rule_exact_correct,0
R_4jkWGYT7ECy8kAR,bcrt_q3,BCRT,10 days,0.0,0.0,rule_other,0
R_4jkWGYT7ECy8kAR,bcrt_q4,BCRT,2.66666666666666 hours,0.0,0.0,rule_other,0
R_4jkWGYT7ECy8kAR,bcrt_q5,BCRT,his own son,0.0,0.0,rule_other,0
R_4jkWGYT7ECy8kAR,bcrt_q6,BCRT,"no, but i'm not sure because it doesn't say if anne is married or not",0.0,0.0,rule_other,0
R_4VJzj3BEMoQSS75,crt2_q1,CRT2,second place,1.0,2.0,rule_exact_correct,1
R_4VJzj3BEMoQSS75,crt2_q2,CRT2,8,1.0,2.0,rule_exact_correct,0
R_4VJzj3BEMoQSS75,crt2_q3,CRT2,emily,1.0,2.0,rule_exact_correct,0
R_4VJzj3BEMoQSS75,crt2_q4,CRT2,"0, because there is no dirt in a hole",1.0,2.0,rule_phrase_correct,0
R_4VJzj3BEMoQSS75,bcrt_q1,BCRT,1.5hrs,0.0,0.0,rule_other,0
R_4VJzj3BEMoQSS75,bcrt_q2,BCRT,400,1.0,2.0,rule_exact_correct,0
R_4VJzj3BEMoQSS75,bcrt_q3,BCRT,8 days approx,1.0,2.0,rule_numeric_correct,0
R_4VJzj3BEMoQSS75,bcrt_q4,BCRT,"approx 2hrs, 40 min",0.0,1.0,rule_exact_intuitive,0
R_4VJzj3BEMoQSS75,bcrt_q5,BCRT,his own,0.0,0.0,rule_other,0
R_4VJzj3BEMoQSS75,bcrt_q6,BCRT,yes,1.0,2.0,rule_exact_correct,0
R_4EpdmEXYNxaBzKp,crt2_q1,CRT2,second,1.0,2.0,rule_exact_correct,1
R_4EpdmEXYNxaBzKp,crt2_q2,CRT2,8,1.0,2.0,rule_exact_correct,1
R_4EpdmEXYNxaBzKp,crt2_q3,CRT2,emily,1.0,2.0,rule_exact_correct,1
R_4EpdmEXYNxaBzKp,crt2_q4,CRT2,27,0.0,1.0,rule_regex_intuitive,0
R_4EpdmEXYNxaBzKp,bcrt_q1,BCRT,1 hour,1.0,2.0,rule_exact_correct,1
R_4EpdmEXYNxaBzKp,bcrt_q2,BCRT,300,0.0,1.0,rule_exact_intuitive,0
R_4EpdmEXYNxaBzKp,bcrt_q3,BCRT,10,0.0,1.0,rule_exact_intuitive,1
R_4EpdmEXYNxaBzKp,bcrt_q4,BCRT,never,1.0,2.0,rule_exact_correct,0
R_4EpdmEXYNxaBzKp,bcrt_q5,BCRT,jesus,0.0,0.0,rule_other,0
R_4EpdmEXYNxaBzKp,bcrt_q6,BCRT,yes,1.0,2.0,rule_exact_correct,0
R_4RTXhjjlqGwpjco,crt2_q1,CRT2,second,1.0,2.0,rule_exact_correct,0
R_4RTXhjjlqGwpjco,crt2_q2,CRT2,7,0.0,1.0,rule_exact_intuitive,0
R_4RTXhjjlqGwpjco,crt2_q3,CRT2,emily,1.0,2.0,rule_exact_correct,0
R_4RTXhjjlqGwpjco,crt2_q4,CRT2,27,0.0,1.0,rule_regex_intuitive,0
R_4RTXhjjlqGwpjco,bcrt_q1,BCRT,1 hour,1.0,2.0,rule_exact_correct,0
R_4RTXhjjlqGwpjco,bcrt_q2,BCRT,$400,1.0,2.0,rule_exact_correct,0
R_4RTXhjjlqGwpjco,bcrt_q3,BCRT,10 days,0.0,0.0,rule_other,0
R_4RTXhjjlqGwpjco,bcrt_q4,BCRT,4 hours,0.0,1.0,rule_exact_intuitive,0
R_4RTXhjjlqGwpjco,bcrt_q5,BCRT,father's son,0.0,0.0,rule_other,0
R_4RTXhjjlqGwpjco,bcrt_q6,BCRT,yes,1.0,2.0,rule_exact_correct,0
R_9nP1v1oCAVi3ZEY,crt2_q1,CRT2,second,1.0,2.0,rule_exact_correct,0
R_9nP1v1oCAVi3ZEY,crt2_q2,CRT2,8,1.0,2.0,rule_exact_correct,0
R_9nP1v1oCAVi3ZEY,crt2_q3,CRT2,emily,1.0,2.0,rule_exact_correct,0
R_9nP1v1oCAVi3ZEY,crt2_q4,CRT2,27,0.0,1.0,rule_regex_intuitive,0
R_9nP1v1oCAVi3ZEY,bcrt_q1,BCRT,1.5 hours,0.0,1.0,rule_exact_intuitive,0
R_9nP1v1oCAVi3ZEY,bcrt_q2,BCRT,400,1.0,2.0,rule_exact_correct,0
R_9nP1v1oCAVi3ZEY,bcrt_q3,BCRT,8,1.0,2.0,rule_exact_correct,0
R_9nP1v1oCAVi3ZEY,bcrt_q4,BCRT,4 hours,0.0,1.0,rule_exact_intuitive,0
R_9nP1v1oCAVi3ZEY,bcrt_q5,BCRT,his son,1.0,2.0,rule_exact_correct,0
R_9nP1v1oCAVi3ZEY,bcrt_q6,BCRT,yes,1.0,2.0,rule_exact_correct,0
R_4qluSYSvHUIOf2k,crt2_q1,CRT2,second place,1.0,2.0,rule_exact_correct,1
R_4qluSYSvHUIOf2k,crt2_q2,CRT2,8,1.0,2.0,rule_exact_correct,0
R_4qluSYSvHUIOf2k,crt2_q3,CRT2,emily,1.0,2.0,rule_exact_correct,0
R_4qluSYSvHUIOf2k,crt2_q4,CRT2,27 cubic feet,0.0,0.0,rule_other,0
R_4qluSYSvHUIOf2k,bcrt_q1,BCRT,1.5 hours,0.0,1.0,rule_exact_intuitive,0
R_4qluSYSvHUIOf2k,bcrt_q2,BCRT,300,0.0,1.0,rule_exact_intuitive,0
R_4qluSYSvHUIOf2k,bcrt_q3,BCRT,10 days,0.0,0.0,rule_other,0
R_4qluSYSvHUIOf2k,bcrt_q4,BCRT,4 hours,0.0,1.0,rule_exact_intuitive,0
R_4qluSYSvHUIOf2k,bcrt_q5,BCRT,himself,0.0,1.0,rule_exact_intuitive,0
R_4qluSYSvHUIOf2k,bcrt_q6,BCRT,no,0.0,1.0,rule_exact_intuitive,0
R_9onXY2s2JyVJbhv,crt2_q1,CRT2,second,1.0,2.0,rule_exact_correct,1
R_9onXY2s2JyVJbhv,crt2_q2,CRT2,8,1.0,2.0,rule_exact_correct,0
R_9onXY2s2JyVJbhv,crt2_q3,CRT2,emily,1.0,2.0,rule_exact_correct,1
R_9onXY2s2JyVJbhv,crt2_q4,CRT2,idk,0.0,0.0,rule_other,0
R_9onXY2s2JyVJbhv,bcrt_q1,BCRT,an hour,0.0,0.0,rule_other,1
R_9onXY2s2JyVJbhv,bcrt_q2,BCRT,200,0.0,0.0,rule_other,1
R_9onXY2s2JyVJbhv,bcrt_q3,BCRT,idk,0.0,0.0,rule_other,0
