base,predictor,r,p,n,sig
AllPunc,CRT2,-0.03322166390112037,0.6108381113151546,237,False
AllPunc,Core3,0.172576982833589,0.0077504901612146515,237,True
AllPunc,Core4,0.24433482777386412,0.00014507907187710778,237,True
AllPunc,CRT2+Core3,0.0872427786252107,0.18072110602276492,237,False
AllPunc,CRT2+Core4,0.145191825658363,0.02540162680767688,237,True
AllPunc,CRT2+BCRT(all),0.13713268846970542,0.03486290347574261,237,True
AllPunc,NFC,-0.10325419185511356,0.11287225361474418,237,False
Apostro,CRT2,0.02187115566036385,0.7376537094315601,237,False
Apostro,Core3,0.08113242625381595,0.21332784128031723,237,False
Apostro,Core4,0.13220126063332274,0.042013592734333916,237,True
Apostro,CRT2+Core3,0.06562395510950071,0.3144100897934412,237,False
Apostro,CRT2+Core4,0.10217172941524302,0.11671656373548922,237,False
Apostro,CRT2+BCRT(all),0.11631569268344957,0.073895278785016,237,False
Apostro,NFC,-0.10311461923884702,0.11336229725629954,237,False
Comma,CRT2,-0.07625403458364269,0.2422373752266065,237,False
Comma,Core3,0.16382380328053628,0.01154388898287384,237,True
Comma,Core4,0.21749228037563473,0.000748981292166162,237,True
Comma,CRT2+Core3,0.05346404178790984,0.41261357480104843,237,False
Comma,CRT2+Core4,0.10157673261204735,0.11887276193314467,237,False
Comma,CRT2+BCRT(all),0.09925390271400028,0.12758854827779453,237,False
Comma,NFC,-0.08452318841164656,0.1947482612078293,237,False
Conversation,CRT2,-0.030417167335526952,0.6412882323554885,237,False
Conversation,Core3,-0.028827091905603366,0.6588272723510444,237,False
Conversation,Core4,0.010767429305410128,0.8690298997696531,237,False
Conversation,CRT2+Core3,-0.03818235467045434,0.5586045941943438,237,False
Conversation,CRT2+Core4,-0.010759616263894786,0.8691240822516528,237,False
Conversation,CRT2+BCRT(all),-0.0426841867918439,0.5131513728537738,237,False
Conversation,NFC,-0.0905795482743569,0.16454690185208332,237,False
Culture,CRT2,0.15042614294403395,0.02051815719706629,237,True
Culture,Core3,0.0012232823744121846,0.9850543963710869,237,False
Culture,Core4,0.019312670347396036,0.7674054023058567,237,False
Culture,CRT2+Core3,0.09951691624882888,0.12657754436068758,237,False
Culture,CRT2+Core4,0.10217669351851733,0.11669870366505086,237,False
Culture,CRT2+BCRT(all),0.09284388696210315,0.15420464368465403,237,False
Culture,NFC,-0.05752160384748003,0.37800283206882535,237,False
Emoji,CRT2,,,237,False
Emoji,Core3,,,237,False
Emoji,Core4,,,237,False
Emoji,CRT2+Core3,,,237,False
Emoji,CRT2+Core4,,,237,False
Emoji,CRT2+BCRT(all),,,237,False
Emoji,NFC,,,237,False
Exclam,CRT2,-0.09722658111603527,0.13559209072886924,237,False
Exclam,Core3,-0.03609466407697884,0.5803232468516386,237,False
Exclam,Core4,-0.040882598779722855,0.531109050884651,237,False
Exclam,CRT2+Core3,-0.08663026137760671,0.18381340790562706,237,False
Exclam,CRT2+Core4,-0.08520558388524894,0.19115618625838082,237,False
Exclam,CRT2+BCRT(all),-0.0989316411013042,0.1288357922607466,237,False
Exclam,NFC,-0.0733346622080856,0.2607930882321825,237,False
Lifestyle,CRT2,0.027044282105404185,0.6787159484440533,237,False
Lifestyle,Core3,-0.016956725627954566,0.7951075580509976,237,False
Lifestyle,Core4,-0.006280120916574207,0.9233847495626761,237,False
Lifestyle,CRT2+Core3,0.007037765846830737,0.9141753401225645,237,False
Lifestyle,CRT2+Core4,0.011788881049267539,0.8567331710310162,237,False
Lifestyle,CRT2+BCRT(all),0.008657147397893816,0.8945311386081849,237,False
Lifestyle,NFC,-0.01601947019828666,0.8062021132260164,237,False
OtherP,CRT2,0.010195304986511394,0.8759313821526806,237,False
OtherP,Core3,0.12300038371010633,0.05865892647683735,237,False
OtherP,Core4,0.14824245817285536,0.022446596264532603,237,True
OtherP,CRT2+Core3,0.08441572283138885,0.19531840622492425,237,False
OtherP,CRT2+Core4,0.1060772280735389,0.10331229604613612,237,False
OtherP,CRT2+BCRT(all),0.06322062319239315,0.3324987184692674,237,False
OtherP,NFC,0.00014450273256760417,0.9982344188390209,237,False
Period,CRT2,0.0015727119804116692,0.9807859259213614,237,False
Period,Core3,0.032856198241648434,0.6147699853807518,237,False
Period,Core4,0.06434606865126852,0.3239465031591777,237,False
Period,CRT2+Core3,0.021794015990271153,0.7385453034238152,237,False
Period,CRT2+Core4,0.044353324436506844,0.4967988365438054,237,False
Period,CRT2+BCRT(all),0.05553568210961398,0.3947150557460273,237,False
Period,NFC,-0.023380616986587163,0.7202789992110783,237,False
QMark,CRT2,-0.06110774571696206,0.3489418974105334,237,False
QMark,Core3,0.16215685257134374,0.01242842409002698,237,True
QMark,Core4,0.23911541155878657,0.00020262739323095857,237,True
QMark,CRT2+Core3,0.062353153167600206,0.33918855515422575,237,False
QMark,CRT2+Core4,0.12514409106337301,0.054360478724621686,237,False
QMark,CRT2+BCRT(all),0.132335899464085,0.0418031255777751,237,True
QMark,NFC,-0.11964800425371162,0.06594019122703276,237,False
achieve,CRT2,0.10756361264618623,0.0985423126107956,237,False
achieve,Core3,0.010395538094289768,0.8735148947680886,237,False
achieve,Core4,-0.02126240992049127,0.7446991449564782,237,False
achieve,CRT2+Core3,0.07717664745891148,0.2365699284981404,237,False
