name,base,has_Q1,has_Q2,dtype,n_nonnull,mean,std
Affect_Q1,Affect,True,True,float64,51,5.3696078431372545,1.9928361509778891
Affect_Q2,Affect,True,True,float64,52,3.1153846153846154,1.7103108821525599
AllPunc_Q1,AllPunc,True,True,float64,51,13.128039215686272,5.4194971257950995
AllPunc_Q2,AllPunc,True,True,float64,52,11.499423076923078,5.367350160375493
Analytic_Q1,Analytic,True,True,float64,51,25.515098039215687,22.606725823112217
Analytic_Q2,Analytic,True,True,float64,52,31.40000000000001,26.077344573403177
Apostro_Q1,Apostro,True,True,float64,51,2.777647058823529,2.2427657892068105
Apostro_Q2,Apostro,True,True,float64,52,1.7786538461538464,2.0057504147653473
Authentic_Q1,Authentic,True,True,float64,51,69.68176470588236,25.822029788070672
Authentic_Q2,Authentic,True,True,float64,52,69.12442307692308,25.50672274982403
BigWords_Q1,BigWords,True,True,float64,51,18.28470588235294,4.363774833312066
BigWords_Q2,BigWords,True,True,float64,52,18.818269230769236,6.348407347562987
Clout_Q1,Clout,True,True,float64,51,18.560392156862747,20.44449961608489
Clout_Q2,Clout,True,True,float64,52,5.497307692307692,7.417169301275721
Cognition_Q1,Cognition,True,True,float64,51,32.65372549019608,5.224946180709524
Cognition_Q2,Cognition,True,True,float64,52,28.85788461538461,6.194126043940732
Comma_Q1,Comma,True,True,float64,51,3.2309803921568627,2.1402833373928356
Comma_Q2,Comma,True,True,float64,52,3.323076923076923,2.2560760169114076
Conversation_Q1,Conversation,True,True,float64,51,0.6625490196078431,1.2889786854400063
Conversation_Q2,Conversation,True,True,float64,52,0.26,0.624478243754798
Culture_Q1,Culture,True,True,float64,51,0.4527450980392156,0.6408391509403366
Culture_Q2,Culture,True,True,float64,52,1.0953846153846152,1.4559499430565566
Dic_Q1,Dic,True,True,float64,51,94.20725490196077,2.787512826617019
Dic_Q2,Dic,True,True,float64,52,91.80230769230769,4.27607459071114
Drives_Q1,Drives,True,True,float64,51,5.255686274509804,2.242691183536773
Drives_Q2,Drives,True,True,float64,52,2.633076923076923,2.0788407813208885
Emoji_Q1,Emoji,True,True,float64,51,0.0,0.0
Emoji_Q2,Emoji,True,True,float64,52,0.0,0.0
Exclam_Q1,Exclam,True,True,float64,51,0.0196078431372549,0.09905357600247128
Exclam_Q2,Exclam,True,True,float64,52,0.05692307692307692,0.4065120797785931
Lifestyle_Q1,Lifestyle,True,True,float64,51,5.054117647058823,1.6575663432386656
Lifestyle_Q2,Lifestyle,True,True,float64,52,3.186538461538461,1.9117298696925138
Linguistic_Q1,Linguistic,True,True,float64,51,74.99039215686274,4.873447449423399
Linguistic_Q2,Linguistic,True,True,float64,52,72.81615384615384,6.880181447139468
NFC_total_raw,NFC_total_raw,False,False,int64,52,57.5,8.915198776851206
OtherP_Q1,OtherP,True,True,float64,51,1.7588235294117651,2.646472789159203
OtherP_Q2,OtherP,True,True,float64,52,1.4415384615384612,2.2686970037170138
Perception_Q1,Perception,True,True,float64,51,6.574117647058823,2.5257475511304612
Perception_Q2,Perception,True,True,float64,52,6.613461538461539,3.088019582325929
Period_Q1,Period,True,True,float64,51,4.86156862745098,2.337755226748993
Period_Q2,Period,True,True,float64,52,4.722115384615384,2.5120871926765336
Physical_Q1,Physical,True,True,float64,51,3.5576470588235294,2.2698169471284992
Physical_Q2,Physical,True,True,float64,52,5.054038461538462,2.8117317819993652
QMark_Q1,QMark,True,True,float64,51,0.47901960784313724,0.919397191476004
QMark_Q2,QMark,True,True,float64,52,0.17807692307692308,0.49572029358041775
Segment_Q1,Segment,True,True,float64,51,1.0,0.0
Segment_Q2,Segment,True,True,float64,52,1.0,0.0
Social_Q1,Social,True,True,float64,51,12.478235294117647,3.283489718112485
Social_Q2,Social,True,True,float64,52,9.622884615384615,3.262630684997368
Tone_Q1,Tone,True,True,float64,51,34.040588235294116,27.132994487340643
Tone_Q2,Tone,True,True,float64,52,23.724230769230765,21.499721048830256
WC_Q1,WC,True,True,float64,51,140.50980392156862,57.27962802110418
WC_Q2,WC,True,True,float64,52,126.75,71.55951664926842
WPS_Q1,WPS,True,True,float64,51,22.983333333333338,13.381213882429362
WPS_Q2,WPS,True,True,float64,52,23.260000000000005,12.180286247741597
achieve_Q1,achieve,True,True,float64,51,1.0333333333333332,1.0226794231890943
achieve_Q2,achieve,True,True,float64,52,0.614423076923077,0.8361183516279225
acquire_Q1,acquire,True,True,float64,51,0.417843137254902,0.6798970906140515
acquire_Q2,acquire,True,True,float64,52,1.1321153846153846,1.2585436280119442
adj_Q1,adj,True,True,float64,51,5.948823529411766,1.8692272148197604
adj_Q2,adj,True,True,float64,52,6.389615384615384,2.9492652028405977
adverb_Q1,adverb,True,True,float64,51,7.448823529411766,2.7559871702501852
adverb_Q2,adverb,True,True,float64,52,5.4478846153846145,2.461085858329816
affiliation_Q1,affiliation,True,True,float64,51,3.7703921568627456,1.7490276971588188
affiliation_Q2,affiliation,True,True,float64,52,1.3590384615384616,1.4881690604117745
allnone_Q1,allnone,True,True,float64,51,0.7966666666666665,1.042893160295363
allnone_Q2,allnone,True,True,float64,52,0.4065384615384616,0.6574919847870174
allure_Q1,allure,True,True,float64,51,8.473333333333333,2.8770162012443063
allure_Q2,allure,True,True,float64,52,6.306730769230769,3.1852513010109136
article_Q1,article,True,True,float64,51,8.229411764705882,2.415802072600162
article_Q2,article,True,True,float64,52,7.931538461538461,13.152945909364737
assent_Q1,assent,True,True,float64,51,0.14901960784313725,0.39851811237388235
assent_Q2,assent,True,True,float64,52,0.09,0.3147954158594972
attention_Q1,attention,True,True,float64,51,1.1433333333333333,1.0252243497499762
attention_Q2,attention,True,True,float64,52,1.49,1.471947950584792
auditory_Q1,auditory,True,True,float64,51,0.04274509803921568,0.17642504859029637
auditory_Q2,auditory,True,True,float64,52,0.10326923076923077,0.2820578306349342
auxverb_Q1,auxverb,True,True,float64,51,11.784705882352942,2.9422609373233253
auxverb_Q2,auxverb,True,True,float64,52,10.479038461538462,3.277243365306243
bcrt4_total,bcrt4_total,False,False,int64,52,0.6153846153846154,0.4865042554105199
bcrt6_total,bcrt6_total,False,False,float64,52,2.1923076923076925,1.4010773538528452
cause_Q1,cause,True,True,float64,51,2.249607843137255,1.426723877519257
cause_Q2,cause,True,True,float64,52,1.9846153846153844,1.4617329830066321
certitude_Q1,certitude,True,True,float64,51,0.7635294117647058,1.078044386894779
certitude_Q2,certitude,True,True,float64,52,0.5915384615384615,0.9093370040761831
cogproc_Q1,cogproc,True,True,float64,51,20.35588235294118,5.20643386909101
cogproc_Q2,cogproc,True,True,float64,52,19.60980769230769,5.175571499615587
combined10_total,combined10_total,False,False,float64,52,4.211538461538462,2.1691591641209595
comm_Q1,comm,True,True,float64,51,3.415490196078432,1.5540942936106854
comm_Q2,comm,True,True,float64,52,3.2576923076923077,2.1944971523060333
conflict_Q1,conflict,True,True,float64,51,0.4707843137254902,0.5671872227371608
conflict_Q2,conflict,True,True,float64,52,0.13403846153846155,0.5102497865502309
conj_Q1,conj,True,True,float64,51,8.99843137254902,1.9132124432831314
conj_Q2,conj,True,True,float64,52,9.28326923076923,3.399414384608623
curiosity_Q1,curiosity,True,True,float64,51,0.3598039215686275,0.5928214035063255
curiosity_Q2,curiosity,True,True,float64,52,1.0548076923076926,1.5470064024339387
death_Q1,death,True,True,float64,51,0.08019607843137255,0.2345750450268041
death_Q2,death,True,True,float64,52,0.02846153846153846,0.20325603988929655
det_Q1,det,True,True,float64,51,14.586666666666666,2.646363147509565
det_Q2,det,True,True,float64,52,15.588461538461537,12.215381757411022
differ_Q1,differ,True,True,float64,51,5.509411764705884,2.5017032721372803
differ_Q2,differ,True,True,float64,52,5.2773076923076925,2.683604146109808
discrep_Q1,discrep,True,True,float64,51,4.220392156862745,2.058722201054566
discrep_Q2,discrep,True,True,float64,52,4.2773076923076925,2.0252484324195272
emo_anger_Q1,emo_anger,True,True,float64,51,0.5850980392156861,0.6440569106172236
emo_anger_Q2,emo_anger,True,True,float64,52,0.08519230769230769,0.3412561094669525
emo_anx_Q1,emo_anx,True,True,float64,51,0.21431372549019606,0.35926534462821014
emo_anx_Q2,emo_anx,True,True,float64,52,0.44019230769230777,0.7222094581762897
emo_neg_Q1,emo_neg,True,True,float64,51,1.2776470588235294,0.9946121290217769
emo_neg_Q2,emo_neg,True,True,float64,52,0.8630769230769231,0.973001973398146
emo_pos_Q1,emo_pos,True,True,float64,51,0.4937254901960784,0.6223641226122822
emo_pos_Q2,emo_pos,True,True,float64,52,0.25153846153846154,0.5655915372265117
emo_sad_Q1,emo_sad,True,True,float64,51,0.1307843137254902,0.4952394672782242
emo_sad_Q2,emo_sad,True,True,float64,52,0.016346153846153847,0.11673488777425808
emotion_Q1,emotion,True,True,float64,51,1.8970588235294121,1.179428731969293
emotion_Q2,emotion,True,True,float64,52,1.366153846153846,1.2700138609875844
ethnicity_Q1,ethnicity,True,True,float64,51,0.0,0.0
ethnicity_Q2,ethnicity,True,True,float64,52,0.0,0.0
family_Q1,family,True,True,float64,51,0.0,0.0
family_Q2,family,True,True,float64,52,0.30096153846153845,0.6144674354999952
fatigue_Q1,fatigue,True,True,float64,51,0.0,0.0
fatigue_Q2,fatigue,True,True,float64,52,0.0,0.0
feeling_Q1,feeling,True,True,float64,51,0.3150980392156863,0.40385579133179916
feeling_Q2,feeling,True,True,float64,52,0.2580769230769231,0.4383361831602037
female_Q1,female,True,True,float64,51,0.35215686274509805,0.9550204057474788
female_Q2,female,True,True,float64,52,0.10634615384615384,0.3867071484199035
filler_Q1,filler,True,True,float64,51,0.06333333333333334,0.4478342947514801
filler_Q2,filler,True,True,float64,52,0.04326923076923077,0.24865577963434132
focusfuture_Q1,focusfuture,True,True,float64,51,1.812549019607843,1.5476343023697774
focusfuture_Q2,focusfuture,True,True,float64,52,1.098269230769231,1.4655383903769423
focuspast_Q1,focuspast,True,True,float64,51,5.405294117647059,3.36165829347991
focuspast_Q2,focuspast,True,True,float64,52,3.033653846153846,2.2214306104626793
